"ID","participantNr","gender","IOS","treatment","classR","otherNr","age","self_popularity","std_self_popularity","self_indegree","std_self_indegree","self_smart","std_self_smart","eigenCentralitySelf","BetweenesSelf","distance","friends_xy","popular_xy","smart_xy","other_p_indegree","std_other_p_indegree","other_p_popularity","std_other_p_popularity","other_p_smart","std_other_p_smart","eigenCentralityOther","BetweenesOther","perc_self_indegree","perc_self_popularity","perc_self_smart","perc_other_p_indegree","perc_other_p_popularity","other_smart","perc_other_smart","friendANDnonFriend","diffPeers","friend","non_na_count","mean_s"
117,10850,"female",5,1,108,10860,16,6,0.303674534244374,7,0.0105528670805282,5,-0.993111790070151,0.258888630348381,0.0546156719097896,1,1,0,1,10,0.928652303086489,5,0.137512996638962,NA,-0.481864892223387,0.302227553526709,0.0783848700319289,0.269230769230769,0.230769230769231,0.192307692307692,0.384615384615385,0.192307692307692,8,0.307692307692308,1,1,1,5,0.139047619047619
117,10850,"female",1,0,108,10823,16,6,0.303674534244374,7,0.0105528670805282,5,-0.993111790070151,0.258888630348381,0.0546156719097896,3,0,0,1,8,0.316586012415849,0,-0.693294691388099,NA,0.881460168701318,0.0895117447099757,0.00166433566433566,0.269230769230769,0.230769230769231,0.192307692307692,0.307692307692308,0,16,0.615384615384615,1,1,0,4,0.125
118,10826,"male",4,0,108,10857,17,20,2.62993606072014,12,1.54071859375713,4,-1.16352742268574,1,0.1184873296638,2,0,0,0,5,-0.601513423590112,8,0.635997609455198,NA,-0.993111790070151,0.249556528806756,0.0254871794871795,0.461538461538462,0.769230769230769,0.153846153846154,0.192307692307692,0.307692307692308,5,0.192307692307692,1,1,0,5,0.414444444444445
118,10826,"male",6,1,108,10886,17,20,2.62993606072014,12,1.54071859375713,4,-1.16352742268574,1,0.1184873296638,1,1,0,0,10,0.928652303086489,0,-0.693294691388099,NA,-0.652280524838975,0.642812397068589,0.0835286674110203,0.461538461538462,0.769230769230769,0.153846153846154,0.384615384615385,0,7,0.269230769230769,1,1,1,5,0.274444444444445
119,10885,"male",6,1,108,10886,16,3,-0.194810078571862,12,1.54071859375713,18,1.22229143393249,0.945392031034418,0.0936974071679954,1,1,0,0,10,0.928652303086489,0,-0.693294691388099,NA,-0.652280524838975,0.642812397068589,0.0835286674110203,0.461538461538462,0.115384615384615,0.692307692307692,0.384615384615385,0,7,0.269230769230769,1,1,1,5,0.254545454545455
119,10885,"male",2,0,108,10896,16,3,-0.194810078571862,12,1.54071859375713,18,1.22229143393249,0.945392031034418,0.0936974071679954,2,0,1,0,2,-1.51961285959607,16,1.96528991029849,NA,-0.993111790070151,0.0663140673494908,0,0.461538461538462,0.115384615384615,0.692307692307692,0.0769230769230769,0.615384615384615,5,0.192307692307692,1,1,0,5,0.0166666666666667
120,10814,"female",2,0,108,10824,17,0,-0.693294691388099,7,0.0105528670805282,7,-0.652280524838975,0.168580884131445,0.0486896632778986,3,0,0,1,8,0.316586012415849,12,1.30064375987685,NA,-0.993111790070151,0.853149940485931,0.0135927601809955,0.269230769230769,0,0.269230769230769,0.307692307692308,0.461538461538462,5,0.192307692307692,1,1,0,5,0.207575757575758
120,10814,"female",4,1,108,10823,17,0,-0.693294691388099,7,0.0105528670805282,7,-0.652280524838975,0.168580884131445,0.0486896632778986,1,1,0,1,8,0.316586012415849,0,-0.693294691388099,NA,0.881460168701318,0.0895117447099757,0.00166433566433566,0.269230769230769,0,0.269230769230769,0.307692307692308,0,16,0.615384615384615,1,1,1,5,0.514285714285714
121,10849,"male",5,1,108,10886,16,0,-0.693294691388099,1,-1.82564600493139,15,0.71104453608573,3.75513034020518e-17,0,0,0,0,1,10,0.928652303086489,0,-0.693294691388099,NA,-0.652280524838975,0.642812397068589,0.0835286674110203,0.0384615384615385,0,0.576923076923077,0.384615384615385,0,7,0.269230769230769,0,1,0,5,0.284962406015038
121,10849,"male",2,0,108,10896,16,0,-0.693294691388099,1,-1.82564600493139,15,0.71104453608573,3.75513034020518e-17,0,0,0,0,1,2,-1.51961285959607,16,1.96528991029849,NA,-0.993111790070151,0.0663140673494908,0,0.0384615384615385,0,0.576923076923077,0.0769230769230769,0.615384615384615,5,0.192307692307692,0,1,0,5,0.156666666666667
122,10874,"female",3,0,108,10823,16,2,-0.360971616177275,6,-0.295480278254792,19,1.39270706654808,0.366860338343628,0.0127536450477627,3,0,0,0,8,0.316586012415849,0,-0.693294691388099,NA,0.881460168701318,0.0895117447099757,0.00166433566433566,0.230769230769231,0.0769230769230769,0.730769230769231,0.307692307692308,0,16,0.615384615384615,1,1,0,4,0.297619047619048
122,10874,"female",2,1,108,10813,16,2,-0.360971616177275,6,-0.295480278254792,19,1.39270706654808,0.366860338343628,0.0127536450477627,1,1,0,0,7,0.0105528670805282,7,0.469836071849786,NA,-0.822696157454563,0.453144174067862,0.053216600393071,0.230769230769231,0.0769230769230769,0.730769230769231,0.269230769230769,0.269230769230769,6,0.230769230769231,1,1,1,5,0.185714285714286
123,10801,"male",5,1,108,10886,16,0,-0.693294691388099,7,0.0105528670805282,12,0.199797638238965,0.607517235811571,0.0549132827956357,1,1,0,0,10,0.928652303086489,0,-0.693294691388099,NA,-0.652280524838975,0.642812397068589,0.0835286674110203,0.269230769230769,0,0.461538461538462,0.384615384615385,0,7,0.269230769230769,1,1,1,5,0.179047619047619
123,10801,"male",4,0,108,10896,16,0,-0.693294691388099,7,0.0105528670805282,12,0.199797638238965,0.607517235811571,0.0549132827956357,3,0,1,0,2,-1.51961285959607,16,1.96528991029849,NA,-0.993111790070151,0.0663140673494908,0,0.269230769230769,0,0.461538461538462,0.0769230769230769,0.615384615384615,5,0.192307692307692,1,1,0,5,0.151538461538462
124,10897,"male",2,0,108,10896,17,1,-0.527133153782687,9,0.622619157751169,19,1.39270706654808,0.955082088066047,0.0173661632485162,3,0,1,0,2,-1.51961285959607,16,1.96528991029849,NA,-0.993111790070151,0.0663140673494908,0,0.346153846153846,0.0384615384615385,0.730769230769231,0.0769230769230769,0.615384615384615,5,0.192307692307692,1,1,0,5,0.1
124,10897,"male",4,1,108,10886,17,1,-0.527133153782687,9,0.622619157751169,19,1.39270706654808,0.955082088066047,0.0173661632485162,1,1,0,0,10,0.928652303086489,0,-0.693294691388099,NA,-0.652280524838975,0.642812397068589,0.0835286674110203,0.346153846153846,0.0384615384615385,0.730769230769231,0.384615384615385,0,7,0.269230769230769,1,1,1,5,0.0694444444444444
125,10807,"female",6,1,108,10810,16,0,-0.693294691388099,3,-1.21357971426075,10,-0.141033626992211,9.48661151051107e-18,0,1,1,0,0,2,-1.51961285959607,0,-0.693294691388099,NA,-0.481864892223387,3.29658277828324e-17,0,0.115384615384615,0,0.384615384615385,0.0769230769230769,0,8,0.307692307692308,0,0,1,10,0.159404761904762
125,10807,"female",6,0,108,10810,16,0,-0.693294691388099,3,-1.21357971426075,10,-0.141033626992211,9.48661151051107e-18,0,1,1,0,0,2,-1.51961285959607,0,-0.693294691388099,NA,-0.481864892223387,3.29658277828324e-17,0,0.115384615384615,0,0.384615384615385,0.0769230769230769,0,8,0.307692307692308,0,0,1,10,0.159404761904762
126,10886,"male",2,0,108,10896,16,0,-0.693294691388099,10,0.928652303086489,7,-0.652280524838975,0.642812397068589,0.0835286674110203,2,0,0,1,2,-1.51961285959607,16,1.96528991029849,NA,-0.993111790070151,0.0663140673494908,0,0.384615384615385,0,0.269230769230769,0.0769230769230769,0.615384615384615,5,0.192307692307692,1,1,0,2,0.138888888888889
126,10886,"male",4,1,108,10857,16,0,-0.693294691388099,10,0.928652303086489,7,-0.652280524838975,0.642812397068589,0.0835286674110203,1,1,0,1,5,-0.601513423590112,8,0.635997609455198,NA,-0.993111790070151,0.249556528806756,0.0254871794871795,0.384615384615385,0,0.269230769230769,0.192307692307692,0.307692307692308,5,0.192307692307692,1,1,1,5,0.170285714285714
127,10837,"female",6,1,108,10823,16,0,-0.693294691388099,8,0.316586012415849,24,2.24478522962602,0.0700613669020096,0,1,1,0,0,8,0.316586012415849,0,-0.693294691388099,NA,0.881460168701318,0.0895117447099757,0.00166433566433566,0.307692307692308,0,0.923076923076923,0.307692307692308,0,16,0.615384615384615,1,1,1,4,0.209249084249085
127,10837,"female",2,0,108,10836,16,0,-0.693294691388099,8,0.316586012415849,24,2.24478522962602,0.0700613669020096,0,4,0,1,0,11,1.23468544842181,9,0.80215914706061,NA,-0.652280524838975,0.754028506506063,0.0123265819148172,0.307692307692308,0,0.923076923076923,0.423076923076923,0.346153846153846,7,0.269230769230769,1,1,0,5,0.154832535885168
128,10832,"female",2,0,108,10823,17,11,1.13448222227143,9,0.622619157751169,5,-0.993111790070151,0.701746034311728,0,4,0,0,0,8,0.316586012415849,0,-0.693294691388099,NA,0.881460168701318,0.0895117447099757,0.00166433566433566,0.346153846153846,0.423076923076923,0.192307692307692,0.307692307692308,0,16,0.615384615384615,1,1,0,5,0.312727272727273
128,10832,"female",5,1,108,10836,17,11,1.13448222227143,9,0.622619157751169,5,-0.993111790070151,0.701746034311728,0,1,1,0,0,11,1.23468544842181,9,0.80215914706061,NA,-0.652280524838975,0.754028506506063,0.0123265819148172,0.346153846153846,0.423076923076923,0.192307692307692,0.423076923076923,0.346153846153846,7,0.269230769230769,1,1,1,5,0.463492063492064
129,10870,"male",4,1,108,10885,16,2,-0.360971616177275,9,0.622619157751169,19,1.39270706654808,0.880916241522737,0.00950862209685739,1,1,0,1,12,1.54071859375713,3,-0.194810078571862,NA,1.22229143393249,0.945392031034418,0.0936974071679954,0.346153846153846,0.0769230769230769,0.730769230769231,0.461538461538462,0.115384615384615,18,0.692307692307692,1,1,1,5,0.135714285714286
129,10870,"male",2,0,108,10896,16,2,-0.360971616177275,9,0.622619157751169,19,1.39270706654808,0.880916241522737,0.00950862209685739,3,0,0,0,2,-1.51961285959607,16,1.96528991029849,NA,-0.993111790070151,0.0663140673494908,0,0.346153846153846,0.0769230769230769,0.730769230769231,0.0769230769230769,0.615384615384615,5,0.192307692307692,1,1,0,5,0.08
130,10810,"female",5,0,108,10807,18,0,-0.693294691388099,2,-1.51961285959607,8,-0.481864892223387,3.29658277828324e-17,0,1,1,0,0,3,-1.21357971426075,0,-0.693294691388099,NA,-0.141033626992211,9.48661151051107e-18,0,0.0769230769230769,0,0.307692307692308,0.115384615384615,0,10,0.384615384615385,0,0,1,10,0.328996836496836
130,10810,"female",5,1,108,10807,18,0,-0.693294691388099,2,-1.51961285959607,8,-0.481864892223387,3.29658277828324e-17,0,1,1,0,0,3,-1.21357971426075,0,-0.693294691388099,NA,-0.141033626992211,9.48661151051107e-18,0,0.0769230769230769,0,0.307692307692308,0.115384615384615,0,10,0.384615384615385,0,0,1,10,0.328996836496836
131,10857,"male",2,1,108,10886,16,8,0.635997609455198,5,-0.601513423590112,5,-0.993111790070151,0.249556528806756,0.0254871794871795,1,1,0,1,10,0.928652303086489,0,-0.693294691388099,NA,-0.652280524838975,0.642812397068589,0.0835286674110203,0.192307692307692,0.307692307692308,0.192307692307692,0.384615384615385,0,7,0.269230769230769,1,1,1,4,0.276282051282052
131,10857,"male",5,0,108,10899,16,8,0.635997609455198,5,-0.601513423590112,5,-0.993111790070151,0.249556528806756,0.0254871794871795,3,0,0,1,6,-0.295480278254792,0,-0.693294691388099,NA,0.540628903470142,0.130425211363369,0,0.192307692307692,0.307692307692308,0.192307692307692,0.230769230769231,0,14,0.538461538461538,1,1,0,5,0.383290043290043
132,10890,"female",1,0,108,10823,16,0,-0.693294691388099,1,-1.82564600493139,5,-0.993111790070151,3.75513034020518e-17,0,0,0,0,0,8,0.316586012415849,0,-0.693294691388099,NA,0.881460168701318,0.0895117447099757,0.00166433566433566,0.0384615384615385,0,0.192307692307692,0.307692307692308,0,16,0.615384615384615,0,1,0,3,0
132,10890,"female",3,1,108,10813,16,0,-0.693294691388099,1,-1.82564600493139,5,-0.993111790070151,3.75513034020518e-17,0,0,0,0,0,7,0.0105528670805282,7,0.469836071849786,NA,-0.822696157454563,0.453144174067862,0.053216600393071,0.0384615384615385,0,0.192307692307692,0.269230769230769,0.269230769230769,6,0.230769230769231,0,1,0,3,0
133,10859,"female",4,1,108,10814,17,0,-0.693294691388099,9,0.622619157751169,8,-0.481864892223387,0.124381891051647,0.029995337995338,1,1,0,1,7,0.0105528670805282,0,-0.693294691388099,NA,-0.652280524838975,0.168580884131445,0.0486896632778986,0.346153846153846,0,0.307692307692308,0.269230769230769,0,7,0.269230769230769,1,1,1,5,0.105
133,10859,"female",2,0,108,10832,17,0,-0.693294691388099,9,0.622619157751169,8,-0.481864892223387,0.124381891051647,0.029995337995338,4,0,1,0,9,0.622619157751169,11,1.13448222227143,NA,-0.993111790070151,0.701746034311728,0,0.346153846153846,0,0.307692307692308,0.346153846153846,0.423076923076923,5,0.192307692307692,1,1,0,4,0.282638888888889
134,10812,"female",3,0,108,10850,17,0,-0.693294691388099,11,1.23468544842181,15,0.71104453608573,0.233771183550339,0.121468923233629,3,0,0,0,7,0.0105528670805282,6,0.303674534244374,NA,-0.993111790070151,0.258888630348381,0.0546156719097896,0.423076923076923,0,0.576923076923077,0.269230769230769,0.230769230769231,5,0.192307692307692,1,1,0,5,0.247777777777778
134,10812,"female",6,1,108,10814,17,0,-0.693294691388099,11,1.23468544842181,15,0.71104453608573,0.233771183550339,0.121468923233629,1,1,0,1,7,0.0105528670805282,0,-0.693294691388099,NA,-0.652280524838975,0.168580884131445,0.0486896632778986,0.423076923076923,0,0.576923076923077,0.269230769230769,0,7,0.269230769230769,1,1,1,4,0.0416666666666667
135,10823,"female",4,1,108,10814,16,0,-0.693294691388099,8,0.316586012415849,16,0.881460168701318,0.0895117447099757,0.00166433566433566,1,1,0,0,7,0.0105528670805282,0,-0.693294691388099,NA,-0.652280524838975,0.168580884131445,0.0486896632778986,0.307692307692308,0,0.615384615384615,0.269230769230769,0,7,0.269230769230769,1,1,1,5,0.104545454545455
135,10823,"female",2,0,108,10824,16,0,-0.693294691388099,8,0.316586012415849,16,0.881460168701318,0.0895117447099757,0.00166433566433566,4,0,1,0,8,0.316586012415849,12,1.30064375987685,NA,-0.993111790070151,0.853149940485931,0.0135927601809955,0.307692307692308,0,0.615384615384615,0.307692307692308,0.461538461538462,5,0.192307692307692,1,1,0,5,0.290909090909091
136,10860,"female",3,0,108,10832,17,5,0.137512996638962,10,0.928652303086489,8,-0.481864892223387,0.302227553526709,0.0783848700319289,3,0,0,0,9,0.622619157751169,11,1.13448222227143,NA,-0.993111790070151,0.701746034311728,0,0.384615384615385,0.192307692307692,0.307692307692308,0.346153846153846,0.423076923076923,5,0.192307692307692,1,1,0,5,0.207045454545455
136,10860,"female",3,1,108,10814,17,5,0.137512996638962,10,0.928652303086489,8,-0.481864892223387,0.302227553526709,0.0783848700319289,1,1,0,0,7,0.0105528670805282,0,-0.693294691388099,NA,-0.652280524838975,0.168580884131445,0.0486896632778986,0.384615384615385,0.192307692307692,0.307692307692308,0.269230769230769,0,7,0.269230769230769,1,1,1,4,0.138888888888889
137,10836,"female",5,1,108,10813,17,9,0.80215914706061,11,1.23468544842181,7,-0.652280524838975,0.754028506506063,0.0123265819148172,1,1,1,0,7,0.0105528670805282,7,0.469836071849786,NA,-0.822696157454563,0.453144174067862,0.053216600393071,0.423076923076923,0.346153846153846,0.269230769230769,0.269230769230769,0.269230769230769,6,0.230769230769231,1,1,1,5,0.288791208791209
137,10836,"female",2,0,108,10837,17,9,0.80215914706061,11,1.23468544842181,7,-0.652280524838975,0.754028506506063,0.0123265819148172,4,0,0,0,8,0.316586012415849,0,-0.693294691388099,NA,2.24478522962602,0.0700613669020096,0,0.423076923076923,0.346153846153846,0.269230769230769,0.307692307692308,0,24,0.923076923076923,1,1,0,5,0.238034188034188
138,10899,"male",2,0,108,10857,18,0,-0.693294691388099,6,-0.295480278254792,14,0.540628903470142,0.130425211363369,0,3,0,0,0,5,-0.601513423590112,8,0.635997609455198,NA,-0.993111790070151,0.249556528806756,0.0254871794871795,0.230769230769231,0,0.538461538461538,0.192307692307692,0.307692307692308,5,0.192307692307692,1,1,0,5,0.18969696969697
138,10899,"male",6,1,108,10826,18,0,-0.693294691388099,6,-0.295480278254792,14,0.540628903470142,0.130425211363369,0,1,1,1,0,12,1.54071859375713,20,2.62993606072014,NA,-1.16352742268574,1,0.1184873296638,0.230769230769231,0,0.538461538461538,0.461538461538462,0.769230769230769,4,0.153846153846154,1,1,1,5,0.289439775910364
